language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,financialCurrency,shortName,regularMarketChangePercent,bid,marketCap,ask,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,symbol,earningsTimestamp,averageAnalystRating,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1076.0,791.0,3.34,JPY,BELLUNA CO,-2.918919,898.0,86425829376,899.0,false,false,false,false,978566400000,2,-27.0,1773901800,898.0,920.0,898.0 - 920.0,898.0,557700,925.0,0,0,jp_market,finmb_883005,Tokyo,"Belluna Co., Ltd.",919.0,249825,344240,107.0,0.1352718,791.0 - 1076.0,-178.0,-0.1654275,-5.573082,1753768800,1754287200,1732877940,1732877940,true,29.5,9.049683,30.0,0.031891894,CLOSED,99.23,84.8,96242569,1528.951,964.92,-66.91998,-0.06935288,974.31,-76.31,-0.07832209,10.5896225,0.58733076,15,20,Asia/Tokyo,JST,32400000,9997.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,2479.0,1791.0,1.92,JPY,SATOH & CO LTD,-1.0309278,2395.0,20016513024,2449.0,false,false,false,false,946944000000,2,-25.0,1773897631,2400.0,2423.0,2373.0 - 2423.0,2373.0,900,2425.0,0,0,jp_market,finmb_884050,Tokyo,"Satoh & Co., Ltd.",2420.0,844,830,609.0,0.3400335,1791.0 - 2479.0,-79.0,-0.03186769,12.994349,1747117800,1747117800,,,false,46.0,15.267176,46.0,0.018969072,CLOSED,157.2,,8340214,3237.927,2342.2,57.80005,0.024677675,2122.45,277.55005,0.13076872,,0.741215,15,20,Asia/Tokyo,JST,32400000,9996.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,2962.0,2186.0,3.08,JPY,YAMAYA CORPORATION,-1.2608696,2270.0,24620918784,2274.0,false,false,false,false,1015545600000,2,-29.0,1773901800,2271.0,2311.0,2271.0 - 2311.0,2271.0,18300,2300.0,0,0,jp_market,finmb_884003,Tokyo,Yamaya Corporation,2296.0,13387,12870,85.0,0.038883805,2186.0 - 2962.0,-691.0,-0.23328832,-23.251099,1754546400,1754978400,,,true,27.0,8.665624,70.0,0.01173913,CLOSED,262.07,,10841444,3422.513,2269.48,1.5200195,0.0006697656,2373.725,-102.7251,-0.043275904,,0.6635475,15,20,Asia/Tokyo,JST,32400000,9994.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1220.0,1085.0,2.33,JPY,YAMAZAWA CO LTD,0.0,1155.0,11889071104,1162.0,false,false,false,false,1077148800000,2,0.0,1773901800,1158.0,1160.0,1153.0 - 1160.0,1153.0,2500,1158.0,0,0,jp_market,finmb_883919,Tokyo,"Yamazawa Co., Ltd.",1155.0,7313,4370,73.0,0.067281105,1085.0 - 1220.0,-62.0,-0.050819673,-1.025641,1752040800,1752472800,,,true,27.0,,27.0,0.023316063,CLOSED,-74.92,,10266901,2467.236,1189.98,-31.97998,-0.026874386,1164.83,-6.829956,-0.005863479,,0.4693511,15,20,Asia/Tokyo,JST,32400000,9993.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1948.0,901.0,3.46,JPY,GECOSS CORPORATION,0.75067025,1825.0,63221600256,1890.0,false,false,false,false,978307200000,2,14.0,1773901800,1879.0,1879.0,1808.0 - 1879.0,1808.0,114600,1865.0,0,0,jp_market,finmb_881600,Tokyo,Gecoss Corporation,1839.0,73617,81040,978.0,1.0854605,901.0 - 1948.0,-69.0,-0.035420943,73.499535,1753254000,1753686000,,,true,59.0,11.415552,65.0,0.03163539,CLOSED,164.6,,33646406,2037.129,1692.72,186.28003,0.11004775,1436.85,442.15002,0.30772176,,0.9223765,15,20,Asia/Tokyo,JST,32400000,9991.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,937.0,740.0,4.23,JPY,SACS BAR HOLDINGS INC,-0.36144578,826.0,24029382656,827.0,false,false,false,false,1145232000000,2,-3.0,1773901800,827.0,830.0,823.0 - 830.0,823.0,109400,830.0,,,jp_market,finmb_884058,Tokyo,Sac's Bar Holdings Inc.,829.0,90539,112560,87.0,0.11756757,740.0 - 937.0,-110.0,-0.117395945,-10.691142,1753855200,1754287200,1747825140,1747825140,false,30.0,11.050241,35.0,0.036144577,CLOSED,74.84,,29056086,1031.937,821.6,5.4000244,0.006572571,798.085,28.914978,0.03623045,,0.8014055,15,20,Asia/Tokyo,JST,32400000,9990.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,4883.0,3889.0,3.37,JPY,SUNDRUG CO LTD,-2.5857782,3917.0,458338992128,3928.0,false,false,false,false,978566400000,2,-104.0,1773901800,3918.0,4035.0,3918.0 - 4035.0,3918.0,537000,4022.0,0,0,jp_market,finmb_883364,Tokyo,"Sundrug Co.,Ltd.",4002.0,371696,517060,29.0,0.00745693,3889.0 - 4883.0,-965.0,-0.19762442,-6.7808685,1778740200,1778740200,,,true,130.0,14.429877,132.0,0.032322228,CLOSED,271.52,274.42,116982899,2383.365,4148.08,-230.08008,-0.055466644,4351.9,-433.8999,-0.09970356,14.277385,1.6438942,15,20,Asia/Tokyo,JST,32400000,9989.T,1770877800,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,6668.0,4406.0,1.72,JPY,SUZUKEN CO LTD,-1.3536379,5821.0,395173199872,5857.0,false,false,false,false,978307200000,2,-80.0,1773901800,5830.0,5906.0,5830.0 - 5906.0,5830.0,420800,5910.0,0,0,jp_market,finmb_878800,Tokyo,"Suzuken Co., Ltd.",5850.0,184322,222610,1424.0,0.32319564,4406.0 - 6668.0,-838.0,-0.12567486,15.012825,1778653800,1778653800,1747220340,1747220340,true,100.0,13.831225,100.0,0.016920473,CLOSED,421.51,310.19,67782715,5911.665,6289.0,-459.0,-0.072984576,5901.945,-71.944824,-0.01219002,18.794931,0.9861858,15,20,Asia/Tokyo,JST,32400000,9987.T,1770877800,2.5 - Buy,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,2660.0,2300.0,3.76,JPY,ZAOH CO LTD,0.4531722,2653.0,14465726464,2663.0,false,false,false,false,1178582400000,2,12.0,1773901800,2660.0,2660.0,2640.0 - 2660.0,2640.0,2600,2648.0,0,0,jp_market,finmb_9155727,Tokyo,"ZAOH Company, Ltd.",2648.0,3108,3060,360.0,0.15652174,2300.0 - 2660.0,0.0,0.0,9.781265,1754460000,1754978400,,,true,53.0,19.80198,100.0,0.020015106,CLOSED,134.33,,5438243,2064.042,2585.96,74.04004,0.02863155,2487.595,172.40503,0.06930591,,1.2887335,15,20,Asia/Tokyo,JST,32400000,9986.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,6923.75,1432.5,0.31,JPY,SOFTBANK GROUP CORP,-5.12,3557.0,20276200865792,3558.0,false,false,false,false,946944000000,2,-192.0,1773901800,3558.0,3647.0,3539.0 - 3647.0,3539.0,35935700,3750.0,0,0,jp_market,finmb_23013,Tokyo,SoftBank Group Corp.,3623.0,50462355,41868550,2125.5,1.4837697,1432.5 - 6923.75,-3365.75,-0.48611662,78.79397,1778653800,1778653800,1747133940,1747133940,true,11.0,6.6533275,11.0,0.0029333334,CLOSED,534.77,295.29,5698763936,2710.314,4111.02,-553.02,-0.13452137,4109.8,-551.7998,-0.1342644,12.049171,1.3127631,15,20,Asia/Tokyo,JST,32400000,9984.T,1770877800,1.8 - Buy,,
