"日付","終値","始値","高値","安値","変化率 %"
"2026-02-18","1.8125","1.8036","1.8272","1.7654","-0.41%"
"2026-02-17","1.8200","1.8559","1.8745","1.8133","-2.88%"
"2026-02-16","1.8740","1.8629","1.9057","1.8675","-0.58%"
"2026-02-13","1.8850","1.8669","1.9248","1.8730","0.00%"
"2026-02-12","1.8850","1.8799","1.9407","1.8730","-1.70%"
"2026-02-11","1.9176","1.8689","1.9186","1.8840","0.08%"
"2026-02-10","1.9160","1.9219","1.9510","1.8900","-1.08%"
"2026-02-09","1.9370","1.8994","1.9793","1.9059","1.04%"
"2026-02-06","1.9170","1.8749","1.9355","1.8351","1.97%"
"2026-02-05","1.8800","1.8769","1.9277","1.8800","-1.42%"
"2026-02-04","1.9070","1.8989","1.9403","1.8938","0.00%"
"2026-02-03","1.9070","1.8769","1.9455","1.8830","0.05%"
"2026-02-02","1.9060","1.8907","1.9338","1.8730","0.85%"
"2026-01-30","1.8900","1.8949","1.9247","1.8783","-0.71%"
"2026-01-29","1.9035","1.9029","1.9385","1.8945","-0.76%"
"2026-01-28","1.9180","1.9259","1.9670","1.8923","-1.08%"
"2026-01-27","1.9390","1.8889","1.9698","1.9021","1.86%"
"2026-01-26","1.9035","1.9107","1.9408","1.8749","-0.60%"
"2026-01-23","1.9150","1.8729","1.9430","1.8776","1.59%"
"2026-01-22","1.8850","1.9249","1.9408","1.8808","-2.53%"
"2026-01-21","1.9340","1.9589","1.9850","1.9155","-2.08%"
"2026-01-20","1.9750","1.9079","2.0231","1.9164","2.60%"
"2026-01-19","1.9250","1.8602","1.9528","1.8654","2.67%"
"2026-01-16","1.8750","1.8449","1.8920","1.8499","0.97%"
"2026-01-15","1.8570","1.8419","1.8845","1.8263","1.09%"
"2026-01-14","1.8370","1.8415","1.8930","1.8340","-1.40%"
"2026-01-13","1.8630","1.8289","1.8923","1.8192","1.42%"
"2026-01-12","1.8370","1.8397","1.8698","1.8370","0.60%"
"2026-01-09","1.8260","1.7600","1.8693","1.7758","2.07%"
"2026-01-08","1.7890","1.7909","1.8139","1.7728","-1.38%"
"2026-01-07","1.8140","1.8119","1.8528","1.8080","-0.98%"
"2026-01-06","1.8320","1.8020","1.8610","1.8083","0.55%"
"2026-01-05","1.8220","1.7694","1.8595","1.7799","1.19%"
"2026-01-02","1.8005","1.8005","1.8005","1.8005","0.00%"
"2026-01-01","1.8005","1.8005","1.8005","1.8005","0.00%"
"2025-12-31","1.8005","1.8005","1.8005","1.8005","0.00%"
"2025-12-30","1.8005","1.7349","1.8093","1.7473","2.71%"
"2025-12-29","1.7530","1.7182","1.7808","1.7407","0.40%"
"2025-12-26","1.7460","1.7379","1.7606","1.7435","-0.57%"
"2025-12-25","1.7560","1.7049","1.7605","1.7152","1.71%"
"2025-12-24","1.7265","1.7179","1.7745","1.7172","-0.35%"
"2025-12-23","1.7325","1.7519","1.7898","1.7180","-1.81%"
"2025-12-22","1.7645","1.7232","1.8119","1.7270","1.94%"
"2025-12-19","1.7310","1.6739","1.7593","1.6786","2.91%"
"2025-12-18","1.6820","1.6645","1.7095","1.6732","-0.53%"
"2025-12-17","1.6910","1.6559","1.7203","1.6683","0.77%"
"2025-12-16","1.6780","1.6569","1.7007","1.6628","-2.19%"
"2025-12-15","1.7155","1.6529","1.7155","1.6504","3.28%"
"2025-12-12","1.6610","1.6359","1.6870","1.6359","0.91%"
"2025-12-11","1.6460","1.6364","1.6730","1.6296","-0.36%"
"2025-12-10","1.6520","1.6549","1.6843","1.6485","-0.66%"
"2025-12-09","1.6630","1.6689","1.6973","1.6480","-0.78%"
"2025-12-08","1.6760","1.6519","1.7133","1.6595","0.78%"
"2025-12-05","1.6630","1.6304","1.6895","1.6378","1.03%"
"2025-12-04","1.6460","1.5919","1.6768","1.6064","2.43%"
"2025-12-03","1.6070","1.5779","1.6420","1.5910","0.69%"
"2025-12-02","1.5960","1.5759","1.6243","1.5776","0.22%"
"2025-12-01","1.5925","1.5289","1.6208","1.5338","3.27%"
"2025-11-28","1.5420","1.4965","1.5585","1.5139","1.05%"
"2025-11-27","1.5260","1.5049","1.5425","1.5110","0.07%"
"2025-11-26","1.5250","1.4954","1.5500","1.5136","-0.07%"
"2025-11-25","1.5260","1.4714","1.5398","1.4878","2.28%"
"2025-11-24","1.4920","1.4639","1.4940","1.4920","-0.40%"
"2025-11-21","1.4980","1.5009","1.5260","1.4845","-1.64%"
"2025-11-20","1.5230","1.4809","1.5575","1.4800","1.87%"
"2025-11-19","1.4950","1.4348","1.5078","1.4549","1.49%"
"2025-11-18","1.4730","1.4419","1.4878","1.4508","1.20%"
"2025-11-17","1.4555","1.4292","1.4855","1.4414","0.87%"
"2025-11-14","1.4430","1.4269","1.4680","1.4236","0.07%"
"2025-11-13","1.4420","1.4175","1.4623","1.4251","0.63%"
"2025-11-12","1.4330","1.4249","1.4593","1.4272","0.00%"
"2025-11-11","1.4330","1.4419","1.4670","1.4320","-0.97%"
"2025-11-10","1.4470","1.4147","1.4805","1.4287","1.33%"
