"日付","終値","始値","高値","安値","変化率 %"
"2026-02-18","1.598","1.588","1.605","1.556","-0.57%"
"2026-02-17","1.607","1.626","1.645","1.596","-2.31%"
"2026-02-16","1.645","1.645","1.677","1.640","-1.08%"
"2026-02-13","1.663","1.641","1.698","1.654","0.36%"
"2026-02-12","1.657","1.645","1.713","1.653","-1.72%"
"2026-02-11","1.686","1.634","1.688","1.647","0.18%"
"2026-02-10","1.683","1.687","1.713","1.660","-0.82%"
"2026-02-09","1.697","1.662","1.736","1.673","1.07%"
"2026-02-06","1.679","1.637","1.702","1.612","1.70%"
"2026-02-05","1.651","1.648","1.692","1.649","-0.78%"
"2026-02-04","1.664","1.659","1.697","1.654","-0.24%"
"2026-02-03","1.668","1.644","1.698","1.642","0.48%"
"2026-02-02","1.660","1.635","1.681","1.633","0.91%"
"2026-01-30","1.645","1.652","1.676","1.633","-1.02%"
"2026-01-29","1.662","1.662","1.689","1.651","-0.60%"
"2026-01-28","1.672","1.675","1.717","1.649","-1.12%"
"2026-01-27","1.691","1.651","1.720","1.664","1.56%"
"2026-01-26","1.665","1.655","1.690","1.633","0.30%"
"2026-01-23","1.660","1.608","1.684","1.617","2.47%"
"2026-01-22","1.620","1.649","1.669","1.619","-2.76%"
"2026-01-21","1.666","1.655","1.693","1.646","-0.77%"
"2026-01-20","1.679","1.648","1.718","1.659","0.72%"
"2026-01-19","1.667","1.612","1.685","1.622","2.46%"
"2026-01-16","1.627","1.601","1.643","1.606","0.62%"
"2026-01-15","1.617","1.584","1.630","1.584","1.44%"
"2026-01-14","1.594","1.602","1.637","1.587","-1.30%"
"2026-01-13","1.615","1.593","1.638","1.582","3.06%"
"2026-01-12","1.567","1.602","1.632","1.561","-1.51%"
"2026-01-09","1.591","1.521","1.629","1.540","2.65%"
"2026-01-08","1.550","1.557","1.577","1.535","-1.52%"
"2026-01-07","1.574","1.579","1.611","1.570","-1.81%"
"2026-01-06","1.603","1.580","1.625","1.580","0.25%"
"2026-01-05","1.599","1.551","1.624","1.560","1.14%"
"2026-01-02","1.581","1.581","1.581","1.581","0.00%"
"2026-01-01","1.581","1.581","1.581","1.581","0.00%"
"2025-12-31","1.581","1.581","1.581","1.581","0.00%"
"2025-12-30","1.581","1.508","1.586","1.522","3.20%"
"2025-12-29","1.532","1.477","1.554","1.507","0.52%"
"2025-12-26","1.524","1.509","1.534","1.512","-0.07%"
"2025-12-25","1.525","1.479","1.530","1.484","2.28%"
"2025-12-24","1.491","1.482","1.532","1.481","-0.67%"
"2025-12-23","1.501","1.511","1.546","1.484","-1.70%"
"2025-12-22","1.527","1.486","1.571","1.489","1.87%"
"2025-12-19","1.499","1.431","1.517","1.442","3.74%"
"2025-12-18","1.445","1.431","1.474","1.438","-0.62%"
"2025-12-17","1.454","1.426","1.477","1.436","0.35%"
"2025-12-16","1.449","1.422","1.466","1.428","-2.23%"
"2025-12-15","1.482","1.420","1.482","1.421","3.56%"
"2025-12-12","1.431","1.405","1.456","1.407","0.92%"
"2025-12-11","1.418","1.408","1.443","1.406","-1.12%"
"2025-12-10","1.434","1.423","1.460","1.426","-0.07%"
"2025-12-09","1.435","1.434","1.465","1.426","-0.83%"
"2025-12-08","1.447","1.419","1.478","1.433","0.84%"
"2025-12-05","1.435","1.393","1.456","1.399","1.77%"
