date,tenor,term,value
2018-06-05,1Y,1,0.00039998625328854835
2018-06-05,2Y,2,0.0008050669320519076
2018-06-05,3Y,3,0.001180385637686978
2018-06-05,4Y,4,0.0016262378979602834
2018-06-05,5Y,5,0.002233258999109447
2018-06-05,7Y,7,0.003756174703297062
2018-06-05,10Y,10,0.006534164539807855
2018-06-05,15Y,15,0.010458651771938525
2018-06-05,20Y,20,0.011794847956971756
2018-06-05,25Y,25,0.011603801915103584
2018-06-05,30Y,30,0.011495958692133589
2018-06-06,1Y,1,0.0004299846853485104
2018-06-06,2Y,2,0.000875081572844214
2018-06-06,3Y,3,0.0012704430433234776
2018-06-06,4Y,4,0.0017263864175572452
2018-06-06,5Y,5,0.002353600132825453
2018-06-06,7Y,7,0.0038165814839687517
2018-06-06,10Y,10,0.006609254038202272
2018-06-06,15Y,15,0.010534485065493883
2018-06-06,20Y,20,0.011894440454807819
2018-06-06,25Y,25,0.011733030847831935
2018-06-06,30Y,30,0.011659289162862935
2018-06-07,1Y,1,0.00040998616605481875
2018-06-07,2Y,2,0.0008050618859764562
2018-06-07,3Y,3,0.001190399557889751
2018-06-07,4Y,4,0.0017013764902777517
2018-06-07,5Y,5,0.0023335653502172663
2018-06-07,7Y,7,0.003784426931514294
2018-06-07,10Y,10,0.006541277852354104
2018-06-07,15Y,15,0.010373277909659358
2018-06-07,20Y,20,0.01176646914278576
2018-06-07,25Y,25,0.011602675324338122
2018-06-07,30Y,30,0.011495212436578093
2018-06-08,1Y,1,0.00037998765282076005
2018-06-08,2Y,2,0.0008250854009481615
2018-06-08,3Y,3,0.001220415374397189
2018-06-08,4Y,4,0.0016362647223797328
2018-06-08,5Y,5,0.0022734054344283237
2018-06-08,7Y,7,0.0036958161239912515
2018-06-08,10Y,10,0.006490054866288331
2018-06-08,15Y,15,0.01030088610890767
2018-06-08,20Y,20,0.01165377425330612
2018-06-08,25Y,25,0.011471706243697826
2018-06-08,30Y,30,0.011352290578258052
2018-06-11,1Y,1,0.0003799900278872497
2018-06-11,2Y,2,0.000820082774676984
2018-06-11,3Y,3,0.001240451913522488
2018-06-11,4Y,4,0.0017264365264568274
2018-06-11,5Y,5,0.002343623970307739
2018-06-11,7Y,7,0.003806628588678351
2018-06-11,10Y,10,0.00653450280982994
2018-06-11,15Y,15,0.010389278970553452
2018-06-11,20Y,20,0.011714923976075202
2018-06-11,25Y,25,0.011601901637261961
2018-06-11,30Y,30,0.011494680984031192
2018-06-12,1Y,1,0.0003899875718117143
2018-06-12,2Y,2,0.0008100738699051284
2018-06-12,3Y,3,0.0012304397802325204
2018-06-12,4Y,4,0.001726427234761659
2018-06-12,5Y,5,0.0023436146205190822
2018-06-12,7Y,7,0.00390735177638277
2018-06-12,10Y,10,0.006582257240601295
2018-06-12,15Y,15,0.01041519088541375
2018-06-12,20Y,20,0.011808838001114114
2018-06-12,25Y,25,0.011679083853503703
2018-06-12,30Y,30,0.011605658615103903
2018-06-13,1Y,1,0.00037998765282076005
2018-06-13,2Y,2,0.0007950726030491305
2018-06-13,3Y,3,0.001180391235459394
2018-06-13,4Y,4,0.001641288083115023
2018-06-13,5Y,5,0.002313546460983633
2018-06-13,7Y,7,0.0037965968755140503
