term,日付,終値,始値,高値,安値,変化率 %
8Y,2026-02-01,1.8254,1.8907,1.9793,1.7825,-3.42%
8Y,2026-01-01,1.89,1.7704,2.0231,1.7728,4.97%
8Y,2025-12-01,1.8005,1.5289,1.8119,1.5338,16.76%
8Y,2025-11-01,1.542,1.3982,1.5618,1.3999,8.90%
8Y,2025-10-01,1.416,1.4039,1.4618,1.3436,-0.35%
8Y,2025-09-01,1.421,1.3102,1.4448,1.267,5.94%
8Y,2025-08-01,1.3413,1.2475,1.375,1.1863,5.09%
8Y,2025-07-01,1.2763,1.115,1.3213,1.1325,11.34%
8Y,2025-06-01,1.1463,1.1463,1.2063,1.1063,-2.55%
8Y,2025-05-01,1.1763,0.955,1.2313,0.9513,23.01%
8Y,2025-04-01,0.9563,1.2325,1.2413,0.0288,-22.33%
8Y,2025-03-01,1.2313,1.1775,1.3275,1.1775,4.57%
8Y,2025-02-01,1.1775,1.095,1.2675,1.0788,7.53%
8Y,2025-01-01,1.095,0.9788,1.0963,0.9788,11.87%
8Y,2024-12-01,0.9788,0.96,1.0013,0.9338,2.09%
8Y,2024-11-01,0.9588,0.8663,0.9975,0.835,10.36%
8Y,2024-10-01,0.8688,0.7913,0.8988,0.7513,9.63%
8Y,2024-09-01,0.7925,0.8163,0.8375,0.73,-2.76%
8Y,2024-08-01,0.815,0.8987,0.9275,0.6625,-12.25%
8Y,2024-07-01,0.9288,0.9337,0.9875,0.7925,-1.85%
8Y,2024-06-01,0.9463,0.955,0.995,0.8137,-4.89%
8Y,2024-05-01,0.995,0.835,1.0,0.7925,12.90%
8Y,2024-04-01,0.8813,0.7212,0.9175,0.7162,22.83%
8Y,2024-03-01,0.7175,0.7487,0.8,0.7,-8.45%
8Y,2024-02-01,0.7837,0.79,0.8563,0.7262,-3.84%
8Y,2024-01-01,0.815,0.7538,0.8463,0.61,8.12%
8Y,2023-12-01,0.7538,0.7862,0.9275,0.6462,-8.50%
8Y,2023-11-01,0.8238,0.9975,1.0625,0.71,-20.41%
8Y,2023-10-01,1.035,0.8763,1.0588,0.7837,18.11%
8Y,2023-09-01,0.8763,0.6737,0.9006,0.6625,19.22%
8Y,2023-08-01,0.735,0.6225,0.7675,0.605,14.06%
8Y,2023-07-01,0.6444,0.4781,0.6838,0.4225,29.19%
8Y,2023-06-01,0.4988,0.5138,0.545,0.395,-8.69%
8Y,2023-05-01,0.5463,0.4781,0.5569,0.4175,7.65%
8Y,2023-04-01,0.5075,0.5306,0.6225,0.4475,-10.18%
8Y,2023-03-01,0.565,0.6837,0.82,0.375,-24.92%
8Y,2023-02-01,0.7525,0.7369,0.8175,0.685,-3.38%
8Y,2023-01-01,0.7788,0.8375,0.9325,0.5706,-7.01%
8Y,2022-12-01,0.8375,0.5081,0.8375,0.4975,53.30%
8Y,2022-11-01,0.5463,0.4613,0.5763,0.415,18.43%
8Y,2022-10-01,0.4613,0.435,0.6088,0.3875,5.90%
8Y,2022-09-01,0.4356,0.3344,0.5313,0.3344,34.28%
8Y,2022-08-01,0.3244,0.2481,0.3638,0.2175,24.77%
8Y,2022-07-01,0.26,0.3725,0.4088,0.2269,-36.97%
8Y,2022-06-01,0.4125,0.2988,0.57,0.2681,29.92%
8Y,2022-05-01,0.3175,0.3125,0.3762,0.2419,-4.51%
8Y,2022-04-01,0.3325,0.2144,0.3888,0.2144,47.78%
8Y,2022-03-01,0.225,0.1806,0.3538,0.1325,18.42%
8Y,2022-02-01,0.19,0.1624,0.2451,0.0625,28.90%
8Y,2022-01-01,0.1474,0.0625,0.1511,0.055,118.37%
8Y,2021-12-01,0.0675,0.045,0.0688,0.0213,156.65%
8Y,2021-11-01,0.0263,0.0769,0.0813,0.025,-67.65%
8Y,2021-10-01,0.0813,0.0494,0.1013,0.0313,54.86%
8Y,2021-09-01,0.0525,-0.0019,0.0688,-0.015,"-1,481.58%"
8Y,2021-08-01,-0.0038,-0.025,0.0088,-0.0413,-72.46%
8Y,2021-07-01,-0.0138,0.0213,0.0263,-0.0425,-152.47%
8Y,2021-06-01,0.0263,0.0525,0.0663,-0.0063,-54.26%
8Y,2021-05-01,0.0575,0.0613,0.07,0.0325,-9.87%
8Y,2021-04-01,0.0638,0.0756,0.0963,0.0263,-19.04%
8Y,2021-03-01,0.0788,0.0931,0.105,0.025,-30.76%
8Y,2021-02-01,0.1138,-0.0044,0.125,-0.0088,"2,894.74%"
8Y,2021-01-01,0.0038,-0.0038,0.01,-0.035,-200.00%
8Y,2020-12-01,-0.0038,-0.0138,0.0038,-0.0425,-39.68%
8Y,2020-11-01,-0.0063,-0.0063,0.0163,-0.045,-184.00%
8Y,2020-10-01,0.0075,-0.0263,0.01,-0.045,-126.04%
8Y,2020-09-01,-0.0288,0.0075,0.0188,-0.0575,-330.40%
8Y,2020-08-01,0.0125,-0.0488,0.03,-0.0613,-155.56%
8Y,2020-07-01,-0.0225,0.01,0.0275,-0.0588,-238.04%
8Y,2020-06-01,0.0163,-0.045,0.0625,-0.0588,-230.40%
8Y,2020-05-01,-0.0125,-0.0738,-0.0738,-0.0738,-73.68%
8Y,2020-04-01,-0.0475,-0.025,-0.025,-0.025,35.71%
8Y,2020-03-01,-0.035,-0.1138,-0.1138,-0.1138,-76.87%
8Y,2020-02-01,-0.1513,-0.0088,-0.0088,-0.0088,365.54%
8Y,2020-01-01,-0.0325,0.0488,0.0488,0.0488,-166.60%
8Y,2019-12-01,0.0488,0.0313,0.0313,0.0313,674.60%
8Y,2019-11-01,0.0063,-0.0725,-0.0725,-0.0725,-110.08%
8Y,2019-10-01,-0.0625,-0.1188,-0.1188,-0.1188,-32.43%
8Y,2019-09-01,-0.0925,-0.1588,-0.1588,-0.1588,-29.55%
8Y,2019-08-01,-0.1313,-0.0988,-0.0988,-0.0988,133.21%
