"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","1.901","1.968","2.061","1.856","-3.57%"
"2026-01-01","1.971","1.847","2.117","1.850","5.01%"
"2025-12-01","1.877","1.603","1.892","1.604","16.51%"
"2025-11-01","1.611","1.460","1.635","1.465","8.70%"
"2025-10-01","1.482","1.469","1.530","1.410","-0.34%"
"2025-09-01","1.487","1.383","1.510","1.339","5.16%"
"2025-08-01","1.414","1.314","1.446","1.254","5.13%"
"2025-07-01","1.345","1.183","1.389","1.199","11.07%"
"2025-06-01","1.211","1.214","1.274","1.172","-2.65%"
"2025-05-01","1.244","1.015","1.310","1.014","22.40%"
"2025-04-01","1.016","1.289","1.299","0.856","-20.98%"
"2025-03-01","1.286","1.230","1.383","1.230","4.67%"
"2025-02-01","1.229","1.144","1.320","1.130","7.43%"
"2025-01-01","1.144","1.035","1.151","1.035","10.51%"
"2024-12-01","1.035","1.014","1.056","0.989","2.09%"
"2024-11-01","1.014","0.929","1.055","0.892","9.01%"
"2024-10-01","0.930","0.849","0.961","0.811","9.24%"
"2024-09-01","0.851","0.877","0.899","0.790","-2.99%"
"2024-08-01","0.877","0.957","0.985","0.711","-11.03%"
"2024-07-01","0.986","1.008","1.058","0.864","-2.95%"
"2024-06-01","1.016","1.028","1.065","0.884","-4.57%"
"2024-05-01","1.065","0.906","1.071","0.864","11.95%"
"2024-04-01","0.951","0.790","0.989","0.784","21.18%"
"2024-03-01","0.785","0.816","0.871","0.671","-7.65%"
"2024-02-01","0.850","0.865","0.926","0.794","-4.49%"
"2024-01-01","0.890","0.822","0.919","0.679","8.21%"
"2023-12-01","0.822","0.860","1.001","0.709","-8.49%"
"2023-11-01","0.899","1.117","1.146","0.781","-19.66%"
"2023-10-01","1.119","0.949","1.143","0.858","17.92%"
"2023-09-01","0.949","0.749","0.969","0.736","17.14%"
"2023-08-01","0.810","0.696","0.841","0.679","12.59%"
"2023-07-01","0.719","0.543","0.759","0.486","27.33%"
"2023-06-01","0.565","0.578","0.610","0.458","-7.57%"
"2023-05-01","0.611","0.537","0.621","0.475","7.95%"
"2023-04-01","0.566","0.592","0.690","0.506","-9.22%"
"2023-03-01","0.624","0.752","0.891","0.429","-23.93%"
"2023-02-01","0.820","0.810","0.889","0.754","-3.81%"
"2023-01-01","0.853","0.887","1.003","0.685","-3.94%"
"2022-12-01","0.887","0.566","0.887","0.554","46.99%"
"2022-11-01","0.604","0.519","0.639","0.469","16.12%"
"2022-10-01","0.520","0.484","0.668","0.436","7.35%"
"2022-09-01","0.484","0.377","0.584","0.335","31.81%"
"2022-08-01","0.368","0.294","0.406","0.261","20.97%"
"2022-07-01","0.304","0.423","0.461","0.267","-29.97%"
"2022-06-01","0.434","0.341","0.613","0.313","30.23%"
"2022-05-01","0.333","0.354","0.421","0.279","-11.17%"
"2022-04-01","0.375","0.246","0.436","0.246","46.31%"
"2022-03-01","0.256","0.210","0.398","0.161","16.50%"
"2022-02-01","0.220","0.187","0.276","0.084","26.73%"
"2022-01-01","0.174","0.084","0.177","0.076","92.89%"
"2021-12-01","0.090","0.064","0.091","0.041","94.38%"
"2021-11-01","0.046","0.097","0.101","0.045","-53.14%"
"2021-10-01","0.099","0.069","0.123","0.051","36.28%"
"2021-09-01","0.072","0.017","0.089","0.002","344.79%"
"2021-08-01","0.016","-0.007","0.027","-0.025","328.95%"
"2021-07-01","0.004","0.043","0.047","-0.029","-92.00%"
"2021-06-01","0.047","0.078","0.093","0.011","-42.42%"
"2021-05-01","0.083","0.089","0.096","0.056","-9.64%"
"2021-04-01","0.091","0.106","0.126","0.051","-16.08%"
"2021-03-01","0.109","0.123","0.135","0.052","-24.34%"
"2021-02-01","0.144","0.019","0.156","0.009","422.91%"
"2021-01-01","0.027","0.018","0.034","-0.018","57.14%"
"2020-12-01","0.018","0.005","0.024","-0.027","26.81%"
"2020-11-01","0.014","0.014","0.038","-0.030","-52.08%"
"2020-10-01","0.029","-0.007","0.031","-0.026","-388.00%"
"2020-09-01","-0.010","0.027","0.040","-0.040","-130.77%"
"2020-08-01","0.032","-0.032","0.050","-0.046","-955.26%"
"2020-07-01","-0.004","0.031","0.050","-0.046","-110.13%"
"2020-06-01","0.038","-0.030","0.086","-0.041","400.00%"
"2020-05-01","0.007","-0.006","-0.006","-0.006","-128.52%"
"2020-04-01","-0.026","0.036","0.036","0.036","75.33%"
"2020-03-01","-0.015","-0.116","-0.116","-0.116","-88.46%"
"2020-02-01","-0.130","-0.013","-0.013","-0.013","1,050.44%"
"2020-01-01","-0.011","0.075","0.075","0.075","-115.59%"
"2019-12-01","0.072","0.065","0.065","0.065","123.08%"
"2019-11-01","0.032","0.011","0.011","0.011","-196.15%"
"2019-10-01","-0.034","-0.052","-0.052","-0.052","-43.67%"
"2019-09-01","-0.060","-0.126","-0.126","-0.126","-44.85%"
"2019-08-01","-0.109","-0.044","-0.044","-0.044","295.64%"
"2019-07-01","-0.027","-0.013","-0.013","-0.013","46.28%"
"2019-06-01","-0.019","0.007","0.007","0.007","-144.24%"
"2019-05-01","0.043","0.084","0.084","0.084","-49.28%"
"2019-04-01","0.084","0.061","0.061","0.061","39.67%"
"2019-03-01","0.060","0.121","0.121","0.121","-49.49%"
"2019-02-01","0.119","0.093","0.093","0.093","26.65%"
"2019-01-01","0.094","0.121","0.121","0.121","-25.73%"
"2018-12-01","0.126","0.157","0.157","0.157","-35.23%"
"2018-11-01","0.195","0.265","0.265","0.265","-28.12%"
"2018-10-01","0.271","0.295","0.295","0.295","-8.81%"
"2018-09-01","0.298","0.284","0.284","0.284","7.67%"
"2018-08-01","0.276","0.310","0.310","0.310","11.05%"
"2018-07-01","0.249","0.203","0.203","0.203","19.90%"
"2018-06-01","0.207","0.222","0.222","0.222","-3.49%"
"2018-05-01","0.215","0.215","0.215","0.215","1.46%"
"2018-04-01","0.212","0.212","0.212","0.212","-2.57%"
"2018-03-01","0.218","0.218","0.218","0.218","-3.89%"
"2018-02-01","0.226","0.226","0.226","0.226","-4.72%"
"2018-01-01","0.237","0.237","0.237","0.237","9.80%"
"2017-12-01","0.216","0.216","0.216","0.216","0.60%"
"2017-11-01","0.215","0.215","0.215","0.215","-0.60%"
"2017-10-01","0.216","0.216","0.216","0.216","-5.46%"
"2017-09-01","0.229","0.229","0.229","0.229","43.00%"
"2017-08-01","0.160","0.160","0.160","0.160","-26.44%"
"2017-07-01","0.218","0.218","0.218","0.218","0.00%"
"2017-06-01","0.218","0.218","0.218","0.218","13.70%"
"2017-05-01","0.191","0.191","0.191","0.191","15.94%"
"2017-04-01","0.165","0.165","0.165","0.165","-23.72%"
"2017-03-01","0.216","0.216","0.216","0.216","14.57%"
"2017-02-01","0.189","0.189","0.189","0.189","-9.01%"
"2017-01-01","0.207","0.207","0.207","0.207","19.46%"
"2016-12-01","0.174","0.174","0.174","0.174","6.04%"
"2016-11-01","0.164","0.164","0.164","0.164","253.78%"
"2016-10-01","0.046","0.046","0.046","0.046","-3,661.54%"
"2016-09-01","-0.001","-0.001","-0.001","-0.001","-104.15%"
"2016-08-01","0.031","0.031","0.031","0.031","-169.56%"
