date,tenor,term,value
2010-06-01,1Y,1,0.9954902330617672
2010-06-01,2Y,2,0.9907032742292924
2010-06-01,3Y,3,0.9851779534149548
2010-06-01,4Y,4,0.9783403211049343
2010-06-01,5Y,5,0.9695997788403865
2010-06-01,7Y,7,0.9445546522215647
2010-06-01,10Y,10,0.8883920657795639
2010-06-01,15Y,15,0.7807386717670415
2010-06-01,20Y,20,0.6858825632874728
2010-06-01,25Y,25,0.6088567995299984
2010-06-01,30Y,30,0.5451903568883423
2010-07-01,1Y,1,0.99571877573656
2010-07-01,2Y,2,0.9911878560929541
2010-07-01,3Y,3,0.9859455450794821
2010-07-01,4Y,4,0.9795125967362551
2010-07-01,5Y,5,0.9712576444224419
2010-07-01,7Y,7,0.9471468903211091
2010-07-01,10Y,10,0.8929189052056398
2010-07-01,15Y,15,0.7888747602878706
2010-07-01,20Y,20,0.6960506846356463
2010-07-01,25Y,25,0.6203886559866933
2010-07-01,30Y,30,0.5575858207327806
2010-08-01,1Y,1,0.9960318858986896
2010-08-01,2Y,2,0.9919825585921793
2010-08-01,3Y,3,0.9874445552122285
2010-08-01,4Y,4,0.981872655972666
2010-08-01,5Y,5,0.9745287757250708
2010-08-01,7Y,7,0.9520777959276544
2010-08-01,10Y,10,0.8997701970375608
2010-08-01,15Y,15,0.7989618770837282
2010-08-01,20Y,20,0.7080621045445109
2010-08-01,25Y,25,0.6328447329894572
2010-08-01,30Y,30,0.5697415353577384
2010-09-01,1Y,1,0.996121416017708
2010-09-01,2Y,2,0.9923097746433253
2010-09-01,3Y,3,0.988096322075171
2010-09-01,4Y,4,0.9827713619355989
2010-09-01,5Y,5,0.9756856252283893
2010-09-01,7Y,7,0.9540747708639367
2010-09-01,10Y,10,0.9021496234116273
2010-09-01,15Y,15,0.7986225142749658
2010-09-01,20Y,20,0.7056559729619549
2010-09-01,25Y,25,0.6292791013071661
2010-09-01,30Y,30,0.5654167684745407
2010-10-01,1Y,1,0.9962506233292959
2010-10-01,2Y,2,0.9924853640378105
2010-10-01,3Y,3,0.9883179756254008
2010-10-01,4Y,4,0.983139702998977
2010-10-01,5Y,5,0.9762723773382443
2010-10-01,7Y,7,0.9551043876566204
2010-10-01,10Y,10,0.9029702678238065
2010-10-01,15Y,15,0.794893950627809
2010-10-01,20Y,20,0.6972343691647571
2010-10-01,25Y,25,0.6177354022801863
2010-10-01,30Y,30,0.5515160033234533
2010-11-01,1Y,1,0.9962803039296176
2010-11-01,2Y,2,0.9920678923322711
2010-11-01,3Y,3,0.9867344775020392
2010-11-01,4Y,4,0.9796349633421971
2010-11-01,5Y,5,0.9700520604233954
2010-11-01,7Y,7,0.9418422916973777
2010-11-01,10Y,10,0.881958887812809
2010-11-01,15Y,15,0.7697503548661302
2010-11-01,20Y,20,0.6718172219134712
2010-11-01,25Y,25,0.5927724239454446
2010-11-01,30Y,30,0.527531713470763
2010-12-01,1Y,1,0.9964592625723351
2010-12-01,2Y,2,0.9923723619620431
2010-12-01,3Y,3,0.9873315530932701
2010-12-01,4Y,4,0.9807721334428021
2010-12-01,5Y,5,0.971828096199797
2010-12-01,7Y,7,0.9451101212121391
2010-12-01,10Y,10,0.8890211332443666
2010-12-01,15Y,15,0.7824571475026375
2010-12-01,20Y,20,0.6889651658277564
2010-12-01,25Y,25,0.6146656255532633
2010-12-01,30Y,30,0.5542419858247365
2011-01-01,1Y,1,0.9962503165126122
2011-01-01,2Y,2,0.9917328744511194
2011-01-01,3Y,3,0.9858899029346964
2011-01-01,4Y,4,0.9782436250545877
2011-01-01,5Y,5,0.9682278359039093
2011-01-01,7Y,7,0.9395851351932001
2011-01-01,10Y,10,0.8798536362161021
2011-01-01,15Y,15,0.7684298857330615
2011-01-01,20Y,20,0.6710707127792177
2011-01-01,25Y,25,0.5925913594724351
2011-01-01,30Y,30,0.5276848751282822
2011-02-01,1Y,1,0.9960811813360851
2011-02-01,2Y,2,0.9911952940915582
2011-02-01,3Y,3,0.9848203416649203
2011-02-01,4Y,4,0.9765566959621993
2011-02-01,5Y,5,0.9657841710880519
2011-02-01,7Y,7,0.9354509706266444
2011-02-01,10Y,10,0.8742203076814452
2011-02-01,15Y,15,0.7599955530771141
2011-02-01,20Y,20,0.660705910705297
2011-02-01,25Y,25,0.5811621302591194
2011-02-01,30Y,30,0.5160177343159862
2011-03-01,1Y,1,0.9963746862669687
2011-03-01,2Y,2,0.9921070799747896
2011-03-01,3Y,3,0.9865702728744642
2011-03-01,4Y,4,0.979059932705117
2011-03-01,5Y,5,0.9688812781059593
2011-03-01,7Y,7,0.939182779336054
2011-03-01,10Y,10,0.8763499433381872
2011-03-01,15Y,15,0.7594605907463172
2011-03-01,20Y,20,0.6576607597403086
2011-03-01,25Y,25,0.5754412051069929
2011-03-01,30Y,30,0.5077446449994014
2011-04-01,1Y,1,0.9964445810920818
2011-04-01,2Y,2,0.9926555409057376
2011-04-01,3Y,3,0.9877012553186336
2011-04-01,4Y,4,0.9807534056429141
2011-04-01,5Y,5,0.9711595056592176
2011-04-01,7Y,7,0.9429452919117921
2011-04-01,10Y,10,0.8796398638307045
2011-04-01,15Y,15,0.7580442528474087
2011-04-01,20Y,20,0.6601805716074248
2011-04-01,25Y,25,0.5802439832248317
2011-04-01,30Y,30,0.5151705274993501
2011-05-01,1Y,1,0.9964941513982885
2011-05-01,2Y,2,0.9925833086529139
2011-05-01,3Y,3,0.9876471394005899
2011-05-01,4Y,4,0.9809343073767021
2011-05-01,5Y,5,0.9717399716120934
2011-05-01,7Y,7,0.9444155066929076
2011-05-01,10Y,10,0.88552692362167
2011-05-01,15Y,15,0.7727630442612803
2011-05-01,20Y,20,0.6730013900109509
2011-05-01,25Y,25,0.5919142084853882
2011-05-01,30Y,30,0.5247048306847382
2011-06-01,1Y,1,0.996364797732346
2011-06-01,2Y,2,0.9922810354858196
2011-06-01,3Y,3,0.9872927579859397
2011-06-01,4Y,4,0.9808030550168318
2011-06-01,5Y,5,0.9720657953062792
2011-06-01,7Y,7,0.9458736789751252
2011-06-01,10Y,10,0.8888059419519098
2011-06-01,15Y,15,0.77852285363268
2011-06-01,20Y,20,0.6802235849231272
2011-06-01,25Y,25,0.5998938289375083
2011-06-01,30Y,30,0.5327073637843183
2011-07-01,1Y,1,0.996529018389403
2011-07-01,2Y,2,0.9928837911617354
2011-07-01,3Y,3,0.9886668041020756
2011-07-01,4Y,4,0.9831568635340355
2011-07-01,5Y,5,0.9755267880032532
2011-07-01,7Y,7,0.9517825104539523
2011-07-01,10Y,10,0.8970887731177986
2011-07-01,15Y,15,0.7894118072586217
2011-07-01,20Y,20,0.6927569351874627
2011-07-01,25Y,25,0.6135687007224678
2011-07-01,30Y,30,0.5475460684503023
2011-08-01,1Y,1,0.9966883715390201
2011-08-01,2Y,2,0.9934321226268411
2011-08-01,3Y,3,0.9896207962298508
2011-08-01,4Y,4,0.9844850548642927
2011-08-01,5Y,5,0.9772572653464812
2011-08-01,7Y,7,0.9543925370598024
2011-08-01,10Y,10,0.9010028301691125
2011-08-01,15Y,15,0.7947370721944959
2011-08-01,20Y,20,0.699810990562799
2011-08-01,25Y,25,0.6226446246620196
2011-08-01,30Y,30,0.5584129965661129
2011-09-01,1Y,1,0.996663326152617
2011-09-01,2Y,2,0.993084334551199
2011-09-01,3Y,3,0.988843832283864
2011-09-01,4Y,4,0.9833698358229224
2011-09-01,5Y,5,0.9759968139939321
2011-09-01,7Y,7,0.9534840644106249
2011-09-01,10Y,10,0.9019167692313084
2011-09-01,15Y,15,0.8004183043632698
2011-09-01,20Y,20,0.7095957367876456
2011-09-01,25Y,25,0.635776697575827
2011-09-01,30Y,30,0.5743985144389628
2011-10-01,1Y,1,0.9966882175069296
2011-10-01,2Y,2,0.9931786479592792
