date,tenor,term,value
2010-06-01,1Y,1,0.004574921022857434
2010-06-01,2Y,2,0.005065565835138867
2010-06-01,3Y,3,0.006119995603120579
2010-06-01,4Y,4,0.007809408646773514
2010-06-01,5Y,5,0.010138989100335448
2010-06-01,7Y,7,0.016164175711081204
2010-06-01,10Y,10,0.02397628335867735
2010-06-01,15Y,15,0.026651680356574912
2010-06-01,20Y,20,0.025161945285680172
2010-06-01,25Y,25,0.022487383839450918
2010-06-01,30Y,30,0.021691851097106894
2010-07-01,1Y,1,0.004305402966898428
2010-07-01,2Y,2,0.004816168072026217
2010-07-01,3Y,3,0.005789739036547884
2010-07-01,4Y,4,0.007302315538590892
2010-07-01,5Y,5,0.009624335100852624
2010-07-01,7Y,7,0.015661311480218598
2010-07-01,10Y,10,0.02286818157858464
2010-07-01,15Y,15,0.025769685487963403
2010-07-01,20Y,20,0.024304352753326545
2010-07-01,25Y,25,0.021726180966276813
2010-07-01,30Y,30,0.020965705479819033
2010-08-01,1Y,1,0.003946030570567578
2010-08-01,2Y,2,0.004201461350830654
2010-08-01,3Y,3,0.004968891624174877
2010-08-01,4Y,4,0.00634856211287741
2010-08-01,5Y,5,0.008666586869499537
2010-08-01,7Y,7,0.01469485799075151
2010-08-01,10Y,10,0.022130410020214576
2010-08-01,15Y,15,0.02475731372000717
2010-08-01,20Y,20,0.02355525556443585
2010-08-01,25Y,25,0.02136742587957933
2010-08-01,30Y,30,0.02064949142847743
2010-09-01,1Y,1,0.0038061854084110005
2010-09-01,2Y,2,0.003861459438382222
2010-09-01,3Y,3,0.004648833339703639
2010-09-01,4Y,4,0.006158534684199111
2010-09-01,5Y,5,0.008313608786887397
2010-09-01,7Y,7,0.014245651066196217
2010-09-01,10Y,10,0.022240806530390924
2010-09-01,15Y,15,0.02541438387410654
2010-09-01,20Y,20,0.024089839367985623
2010-09-01,25Y,25,0.021731339733114342
2010-09-01,30Y,30,0.021073371472756276
2010-10-01,1Y,1,0.0037164518384967776
2010-10-01,2Y,2,0.0038567279386922055
2010-10-01,3Y,3,0.00455883655020994
2010-10-01,4Y,4,0.005947672600171512
2010-10-01,5Y,5,0.008071540301947667
2010-10-01,7Y,7,0.014061378176474546
2010-10-01,10Y,10,0.022695498178515135
2010-10-01,15Y,15,0.02698050759076234
2010-10-01,20Y,20,0.0254543331684511
2010-10-01,25Y,25,0.022970224550428436
2010-10-01,30Y,30,0.022385518665421423
2010-11-01,1Y,1,0.003816571072879365
2010-11-01,2Y,2,0.004657634616842374
2010-11-01,3Y,3,0.006123487998456502
2010-11-01,4Y,4,0.008318447196712396
2010-11-01,5Y,5,0.011342103387326498
2010-11-01,7Y,7,0.018098675633974805
2010-11-01,10Y,10,0.025177256863836768
2010-11-01,15Y,15,0.02812436563117798
2010-11-01,20Y,20,0.02630760856588003
2010-11-01,25Y,25,0.023762694529091653
2010-11-01,30Y,30,0.022877933759878212
2010-12-01,1Y,1,0.003696928077570079
2010-12-01,2Y,2,0.0045227850695867215
2010-12-01,3Y,3,0.005662212240909329
2010-12-01,4Y,4,0.0076692884981884556
2010-12-01,5Y,5,0.010653150804424031
2010-12-01,7Y,7,0.017042574707005327
2010-12-01,10Y,10,0.023322210719776016
2010-12-01,15Y,15,0.026547080726184648
2010-12-01,20Y,20,0.02435229734729436
2010-12-01,25Y,25,0.021292618850503923
2010-12-01,30Y,30,0.020098194255511504
2011-01-01,1Y,1,0.003976591555599736
2011-01-01,2Y,2,0.0051129215903875196
2011-01-01,3Y,3,0.006705284763337675
2011-01-01,4Y,4,0.008866602581673579
2011-01-01,5Y,5,0.01171603168779492
2011-01-01,7Y,7,0.018271869428549435
2011-01-01,10Y,10,0.025035453219888665
2011-01-01,15Y,15,0.028026710567677533
2011-01-01,20Y,20,0.02616321263436827
2011-01-01,25Y,25,0.02358457187191658
2011-01-01,30Y,30,0.02281773860801419
2011-02-01,1Y,1,0.004226324951478507
2011-02-01,2Y,2,0.0056080330745924434
2011-02-01,3Y,3,0.007296671581691984
2011-02-01,4Y,4,0.009556170968251364
2011-02-01,5Y,5,0.012628679307325055
2011-02-01,7Y,7,0.019119350280922667
2011-02-01,10Y,10,0.02567412214223945
2011-02-01,15Y,15,0.02897699369584334
2011-02-01,20Y,20,0.02702450907509261
2011-02-01,25Y,25,0.024287112283180617
2011-02-01,30Y,30,0.023268342919024708
2011-03-01,1Y,1,0.003806791669762086
2011-03-01,2Y,2,0.004777874112684261
2011-03-01,3Y,3,0.006415100919292165
2011-03-01,4Y,4,0.008868296121583293
2011-03-01,5Y,5,0.012033253030119087
2011-03-01,7Y,7,0.019025968734376477
2011-03-01,10Y,10,0.026455726029754614
2011-03-01,15Y,15,0.02963111254368027
2011-03-01,20Y,20,0.027936566095850875
2011-03-01,25Y,25,0.025484304256092903
2011-03-01,30Y,30,0.024579058110992834
2011-04-01,1Y,1,0.003496799106687326
2011-04-01,2Y,2,0.004122816874397868
2011-04-01,3Y,3,0.005884058517291542
2011-04-01,4Y,4,0.008234384068032334
2011-04-01,5Y,5,0.011426282526792363
2011-04-01,7Y,7,0.01803411470431765
2011-04-01,10Y,10,0.022430333202909734
2011-04-01,15Y,15,0.027960940380218596
2011-04-01,20Y,20,0.027330409243071924
2011-04-01,25Y,25,0.024295476807011197
2011-04-01,30Y,30,0.02328480663574617
2011-05-01,1Y,1,0.0035969548469703683
2011-05-01,2Y,2,0.004267691680718935
2011-05-01,3Y,3,0.005703227574932896
2011-05-01,4Y,4,0.007936762894308693
2011-05-01,5Y,5,0.010897722330389359
2011-05-01,7Y,7,0.017563077014254542
2011-05-01,10Y,10,0.024840962928504632
2011-05-01,15Y,15,0.028438951146279458
2011-05-01,20Y,20,0.02685107531140997
2011-05-01,25Y,25,0.02450320019035407
2011-05-01,30Y,30,0.023707131436811357
2011-06-01,1Y,1,0.0037667453140710527
2011-06-01,2Y,2,0.004447423179416052
2011-06-01,3Y,3,0.00563209610802737
2011-06-01,4Y,4,0.007557762734521111
2011-06-01,5Y,5,0.010338611634774285
2011-06-01,7Y,7,0.016908035302512708
2011-06-01,10Y,10,0.024012149300016238
2011-06-01,15Y,15,0.027812266682931235
2011-06-01,20Y,20,0.026178453853745925
2011-06-01,25Y,25,0.024089089224996793
2011-06-01,30Y,30,0.023423090954639035
2011-07-01,1Y,1,0.00351699389764318
2011-07-01,2Y,2,0.0038122668563555025
2011-07-01,3Y,3,0.0047002453871009
2011-07-01,4Y,4,0.006477133198362081
2011-07-01,5Y,5,0.009104993339824199
2011-07-01,7Y,7,0.015651250297959766
2011-07-01,10Y,10,0.023103158407590717
2011-07-01,15Y,15,0.02685403034547589
2011-07-01,20Y,20,0.02538953988805188
2011-07-01,25Y,25,0.02316524222826525
2011-07-01,30Y,30,0.022373012995805085
2011-08-01,1Y,1,0.0031972030895519427
2011-08-01,2Y,2,0.0033476304068657254
2011-08-01,3Y,3,0.004340174701368323
2011-08-01,4Y,4,0.006066061517679987
2011-08-01,5Y,5,0.008671495292711925
2011-08-01,7Y,7,0.015148234633441747
2011-08-01,10Y,10,0.022622717330799846
2011-08-01,15Y,15,0.026299981031609826
2011-08-01,20Y,20,0.024580438188910477
2011-08-01,25Y,25,0.022153303800067282
2011-08-01,30Y,30,0.021397537919511933
2011-09-01,1Y,1,0.0033872254238890686
2011-09-01,2Y,2,0.003807647638475486
2011-09-01,3Y,3,0.004750702374537523
2011-09-01,4Y,4,0.0063515642941503634
2011-09-01,5Y,5,0.008700353896549943
2011-09-01,7Y,7,0.014751979262987058
2011-09-01,10Y,10,0.021663784244949
2011-09-01,15Y,15,0.02499336504691349
2011-09-01,20Y,20,0.023182254312895216
2011-09-01,25Y,25,0.020756956015160262
2011-09-01,30Y,30,0.01985263030503013
2011-10-01,1Y,1,0.00334726022631868
2011-10-01,2Y,2,0.0037076302241947014
2011-10-01,3Y,3,0.004630546063986364
2011-10-01,4Y,4,0.006281483104610553
2011-10-01,5Y,5,0.008680508458770227
2011-10-01,7Y,7,0.01493775942604671
2011-10-01,10Y,10,0.02203473215646164
2011-10-01,15Y,15,0.025838591976070864
2011-10-01,20Y,20,0.024200296943238112
2011-10-01,25Y,25,0.02176728925351913
2011-10-01,30Y,30,0.020962750583820244
2011-11-01,1Y,1,0.004046460905360879
2011-11-01,2Y,2,0.004641770308124334
2011-11-01,3Y,3,0.005370049446611738
2011-11-01,4Y,4,0.006936857285095125
2011-11-01,5Y,5,0.009343841529309591
2011-11-01,7Y,7,0.015396985704824735
2011-11-01,10Y,10,0.022167653335583966
2011-11-01,15Y,15,0.026023438113681904
2011-11-01,20Y,20,0.024093702558472267
2011-11-01,25Y,25,0.02152437228271887
2011-11-01,30Y,30,0.020673550844792186
2011-12-01,1Y,1,0.0036268456722574616
2011-12-01,2Y,2,0.0039871689710975315
2011-12-01,3Y,3,0.004508800260847176
2011-12-01,4Y,4,0.005837594275403717
2011-12-01,5Y,5,0.008183333236513523
2011-12-01,7Y,7,0.014010523881427255
2011-12-01,10Y,10,0.021733859370915154
2011-12-01,15Y,15,0.024889827781783346
2011-12-01,20Y,20,0.022103601302848195
